smiles,standard_value,PCFE,RTlogD,ADMETlab2.0,w/o microscopic pKa,w/o pre-training and microscopic pKa,w/o pre-training,no_logp,swap_strategy,all_task_scaffold,replace_macropka,Instant Jchem,logp_simi,RT_simi,logD_simi,logp_smi
O=c1nc(Oc2ccccc2)c2ccc(Cl)cc2[nH]1,2.7,2.94,3.679,3.349,2.149,3.383,2.927,3.2893457,3.273,3.325,2.807,4.170720625,0.369565217,0.32,0.428571429,0.395348837
NCc1cccc(NC(=O)CCS)c1,0.28,-0.36,-1.097,0.772,-0.843,-0.528,-0.508,-0.8707843,-1.664,-1.421,-0.772,-0.476886679,0.418604651,0.333333333,0.410714286,0.465116279
CCOc1nc(N(C)C)nc(=O)n1C,0.66,0.75,1.484,0.978,1.49,1.154,1.721,1.4345446,1.465,0.867,2.356,0.249610852,0.288888889,0.326086957,0.333333333,0.342857143
CCOc1nc(N(C)C)nc(=O)[nH]1,0.23,0.36,1.093,1.513,0.408,0.313,0.511,0.095330715,-0.103,0.307,1.708,-0.910894401,0.296296296,0.275862069,0.344827586,0.352941176
C[C@H]1CC[C@H](Cn2c(N3CCC[C@H]3CF)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,2.42,4.23,4.961,4.576,3.947,4.697,3.753,4.6987753,3.568,4.239,3.953,4.755593879,0.216981132,0.27184466,0.254901961,0.216981132
N#CC1CCCN(C(=O)c2cnc(NC3(c4cncnc4)CC3)nc2)C1,-0.3,0.59,1.313,0.349,0.042,0.024,-0.129,0.41637015,0.493,0.236,1.027,-0.023446953,0.273972603,0.357142857,0.303797468,0.273972603
Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCC[C@H]4NC(=O)c3cn(C(C)(C)C)nn3)n2)cn1,3.5,3.78,4.491,4.265,4.047,4.289,4.454,4.5760884,3.692,3.915,4.135,4.348109426,0.221153846,0.307692308,0.363636364,0.239583333
O=C(Nc1ccc(Br)cc1)NC1CCN(c2cnn(-c3ccncc3)c2)C1=O,4.3,3.37,2.66,2.867,3.006,2.74,2.997,2.813047,2.53,2.614,2.526,1.47218639,0.315789474,0.444444444,0.285714286,0.315789474
N#Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(-c2ncc3c(N)n[nH]c3n2)cc1,1.13,2.7,3.409,1.052,2.473,2.458,2.562,2.804381,2.382,2.453,2.935,2.404769863,0.306451613,0.391304348,0.452054795,0.306451613
CNC(=O)c1c(-c2c(F)cc(O)cc2F)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,0.7,1.35,2.057,2.698,1.58,2.613,1.994,2.4501154,1.561,1.316,1.867,0.612598909,0.228915663,0.269662921,0.301369863,0.228915663
N#Cc1ccc2c(-c3nc(N[C@H]4CCCNC4)ncc3C(F)(F)F)c[nH]c2c1,2.28,2.24,1.537,2.887,1.154,1.544,1.516,2.1234107,0.947,1.976,2.413,1.189652646,0.225352113,0.225806452,0.303370787,0.225352113
Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCOC(=O)CC23CC4CC(CC(C4)C2)C3)C(C)(C)C)cc1,2.4,3.87,4.57,4.209,4.519,4.766,4.333,4.737192,4.256,5.007,4.443,4.243817742,0.252525253,0.234782609,0.67816092,0.252525253
