smiles,standard_value
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,3.48
Brc1c(NC2=NCCN2)ccc2c1NCCN2,-1.74
Brc1c(NC2=NCCN2)ccc2nccnc12,0.905
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,2.51
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8
Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,-0.52
Brc1ccc(Cc2nn[nH]n2)cc1,-0.42
Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,-0.31
Brc1ccc(N=C2NCCC3(CCCCC3)S2)cc1,1.945
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,-0.29
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,0.14
Brc1cccc(Br)c1N(CC1CC1)C1=NCCCN1,-1.03
Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,-1.12
Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,-0.06
Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,0.32
Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,0.27
Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,-0.05
Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,-0.52
Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,-0.1
Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br,-0.41
Brc1ccccc1,2.99
Brc1ccccc1N(CC1CC1)C1=NCCN1,-1.3
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,4.11
Brc1cnc2ccccc2c1,3.03
Brc1cncc(-c2cc(NCCCn3ccnc3)nc(-c3ccccc3)n2)c1,5.53
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],3.0
C#CC(C)(C)OC[n+]1ccn(C)c1C=NO,-1.62
C#CC(C)C(C)OC[n+]1ccn(C)c1C=NO,-1.55
C#CC(C)OC[n+]1ccn(C)c1C=NO,-2.14
C#CC(C)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,0.5
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59
C#CC(CC)OC[n+]1ccn(C)c1C=NO,-1.49
C#CC(CCC)OC[n+]1ccn(C)c1C=NO,-1.1
C#CC1(OC[n+]2ccn(C)c2C=NO)CCCC1,-0.99
C#CC1CCCCC1OC[n+]1ccn(C)c1C=NO,-1.7
C#CCC(C(O)N=C(CCC(=O)OCC)Cc1cc[nH]c1O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.75
C#CCC(C)OC[n+]1ccn(C)c1C=NO,-2.1
C#CCC(CCC)OC[n+]1ccn(C)c1C=NO,-1.17
C#CCC(OC[n+]1ccn(C)c1C=NO)c1ccccc1,-1.05
C#CCCCCOc1ccc2c(c1)NC(=O)CC2,1.6
C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,4.3
C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,2.5
C#CCCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,3.5
C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,2.4
C#CCCCC[n+]1ccc(C=NO)cc1,-2.32
C#CCCCC[n+]1ccccc1C=NO,-1.94
C#CCCCC[n+]1ccn(C(C)(C)C)c1C=NO,-1.42
C#CCCCC[n+]1ccn(C)c1C=NO,-2.02
C#CCCCC[n+]1ccn(COC)c1C=NO,-1.71
C#CCCCC[n+]1cn(C)c(C=NO)n1,-1.56
C#CCCCOC[n+]1ccn(C)c1C=NO,-2.1
C#CCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,3.1
C#CCCOC[n+]1ccc(C=NO)cc1,-2.72
C#CCCOC[n+]1ccn(C(C)(C)C)c1C=NO,-1.84
C#CCCOC[n+]1ccn(C)c1C=NO,-2.36
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,3.0
C#CCN(C(=O)N(CCCl)N=O)C1CCCCC1,-0.42
C#CCN(C(=O)NCCCl)C1CCCCC1,0.15
C#CCN(C)/N=N/c1ccc(C(=O)O)cc1,0.0
C#CCN(C)C(C)Cc1ccccc1,2.16
C#CCN(C)[C@H](C)Cc1ccccc1,3.425
C#CCN(C1=NCCN1)c1c(Br)cccc1Br,-0.18
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,0.2
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,0.1
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,2.8
C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,3.2
C#CCNC(=O)CC(NC(=O)c1ccc(C#Cc2ccccc2)cc1)C(O)=NO,3.0
C#CCNCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,0.5
C#CCOCC(C(=O)N1CC[C@@H]2C[C@@H]3CCCC(NC(=O)C(C)NC)C(=O)N3[C@@H]2C1)c1ccccc1,0.7
C#CCOC[n+]1ccn(C)c1C=NO,-2.9
C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.44
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,4.0
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.96
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.4
C#Cc1cc2cc(C(=O)N3CCc4cc(CN(C)C)ccc4C3)n(C)c2cn1,1.2
C#Cc1ccc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)c1,2.3
C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,2.2
C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,2.68
C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,0.92
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,3.35
C(#Cc1[nH]nc2ccccc12)c1ccccc1,4.31
C(#Cc1cscn1)c1ccccc1,2.6
C(#Cc1nccs1)c1ccccc1,3.2
C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,3.4
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.68
C(=C/c1nc2ccccc2n2cccc12)\c1ccccc1,4.84
C(=Cc1nn[nH]n1)c1ccccc1,-0.4
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3ccc(CN(C)C)n3)cc2F)C1=O)c1ccc(Cl)s1,2.2
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3ccnc3CN(C)C)cc2F)C1=O)c1ccc(Cl)s1,2.44
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3cnc(CN(C)C)c3)cc2F)C1=O)c1ccc(Cl)s1,1.64
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3cncc3CN(C)C)cc2F)C1=O)c1ccc(Cl)s1,2.31
C/C=C(/C)C#Cc1ccc(CCC(=O)O)c(F)c1,1.79
C/C=C/CC(C)C(=O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,4.11
C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,-0.49
C/C=C/COC[n+]1ccn(C)c1C=NO,-1.54
C/C=C/C[C@@H](C)C1OC(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(C(C)C)NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C(=O)C(CC)NC(=O)C1NC,2.61
